key,source,target,Translation Notes,Outstanding issues
ST_Out_MD/ANNOUNCE_DETAIL_003,"CATALOG Vol.03配信開始！
LUMINOUS SHOPで、魅力的なセットやアイテムを多数配信！！
※体験版では、カタログ内の一部商品は購入できません","Catalog Vol.03 is now available!
The Luminous Shop will offer a lot of attractive sets and items!!
※Some products in the catalog cannot be purchased in the demo version.",,
ST_Out_MD/ANNOUNCE_DETAIL_004,"CATALOG Vol.04配信開始！
LUMINOUS SHOPで、魅力的なセットやアイテムを多数配信！！
※体験版では、カタログ内の一部商品は購入できません","Catalog Vol.04 is now available!
The Luminous Shop will offer a lot of attractive sets and items!!
※Some products in the catalog cannot be purchased in the demo version.",,
ST_Out_MD/ANNOUNCE_DETAIL_005,"CATALOG Vol.05配信開始！
LUMINOUS SHOPで、魅力的なセットやアイテムを多数配信！！
※体験版では、カタログ内の一部商品は購入できません","Catalog Vol.05 is now available!
The Luminous Shop will offer a lot of attractive sets and items!!
※Some products in the catalog cannot be purchased in the demo version.",,
ST_Out_MD/ANNOUNCE_DETAIL_006,"CATALOG Vol.06配信開始！
LUMINOUS SHOPで、魅力的なセットやアイテムを多数配信！！
※体験版では、カタログ内の一部商品は購入できません","Catalog Vol.06 is now available!
The Luminous Shop will offer a lot of attractive sets and items!!
※Some products in the catalog cannot be purchased in the demo version.",,
ST_Out_MD/ANNOUNCE_DETAIL_031,"無料DLC『るみなすじゃぱん47　北東エリア編』配信開始！
本編メインメニューに『JAPAN47』が追加され、プレイできます！！
※『るみなすじゃぱん47』は、ゲームをクリアするとプレイ可能です","The Free DLC ""Luminous Japan 47: Northern Area Ep."" is now available!
The ""JAPAN 47"" option will be added to the main menu and can be played!
※Luminous Japan 47 can only be played after clearing the game.",,
ST_Out_MD/ANNOUNCE_DETAIL_032,"無料DLC『るみなすじゃぱん47　南エリア編』配信開始！
本編メインメニューに『JAPAN47』が追加され、プレイできます！！
※『るみなすじゃぱん47』は、ゲームをクリアするとプレイ可能です","The Free DLC ""Luminous Japan 47: Southern Area Ep."" is now available!
The ""JAPAN 47"" option will be added to the main menu and can be played!
※Luminous Japan 47 can only be played after clearing the game.",,
ST_Out_MD/ANNOUNCE_DETAIL_033,"無料DLC『るみなすじゃぱん47　上方エリア編』配信開始！
本編メインメニューに『JAPAN47』が追加され、プレイできます！！
※『るみなすじゃぱん47』は、ゲームをクリアするとプレイ可能です","The Free DLC ""Luminous Japan 47: Kansai Area Ep."" is now available!
The ""JAPAN 47"" option will be added to the main menu and can be played!
※Luminous Japan 47 can only be played after clearing the game.",,
ST_Out_MD/ANNOUNCE_DETAIL_034,"無料DLC『るみなすじゃぱん47　西エリア編』配信開始！
本編メインメニューに『JAPAN47』が追加され、プレイできます！！
※『るみなすじゃぱん47』は、ゲームをクリアするとプレイ可能です","The Free DLC ""Luminous Japan 47: Western Area Ep."" is now available!
The ""JAPAN 47"" option will be added to the main menu and can be played!
※Luminous Japan 47 can only be played after clearing the game.",,
ST_Out_MD/ANNOUNCE_DETAIL_035,"無料DLC『るみなすじゃぱん47　中央エリア編』配信開始！
本編メインメニューに『JAPAN47』が追加され、プレイできます！！
※『るみなすじゃぱん47』は、ゲームをクリアするとプレイ可能です","The Free DLC ""Luminous Japan 47: Central Area Ep."" is now available!
The ""JAPAN 47"" option will be added to the main menu and can be played!
※Luminous Japan 47 can only be played after clearing the game.",,
ST_Out_MD/ANNOUNCE_DETAIL_036,"無料DLC『るみなすじゃぱん47　首都エリア編』配信開始！
本編メインメニューに『JAPAN47』が追加され、プレイできます！！
※『るみなすじゃぱん47』は、ゲームをクリアするとプレイ可能です","The Free DLC ""Luminous Japan 47: Capital Area Ep."" is now available!
The ""JAPAN 47"" option will be added to the main menu and can be played!
※Luminous Japan 47 can only be played after clearing the game.",,
ST_Out_MD/ANNOUNCE_DETAIL_101,※※このテキストは多分、使用しないが、念のため用意しておく,"※※This text probably won't be needed, but it is here just in case.",this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_102,"・「春香」の絆9と10がアルバムに登録されない場合がある不具合を修正（例文です）
・一部楽曲において、スコアが適切ではない大きな値となる不具合を修正（例文です）
※詳細は、ホームページをご覧ください","・A bug where Haruka's Bond Lv.9 & 10 conversations would not properly register
in the album. (example sentence)
・Fixed a bug where scores for some songs had very large values and were not
accurate. (example sentence)
※Please see the home page for more details.",this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_103,その都度、記述する,Each time it is described,this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_104,その都度、記述する,Each time it is described,this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_105,その都度、記述する,Each time it is described,this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_106,その都度、記述する,Each time it is described,this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_107,その都度、記述する,Each time it is described,this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_001,"ストアで、新しいDLCを配信開始！
アイドルからメールを受信できるメールアドレスや
STAGE FOR YOU!（S4U!）で使用できる舞台演出やフォトフレームなど、
魅力的なセットやアイテムを多数配信！！　","New DLC is now available in the store!
You can have access to your idol's email adresses and receive messages 
from them, acquire stage production effects and photo frames that can be 
used in STAGE FOR YOU! (S4U!), and other sets and items can now be purchased!",,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_002,"ストアで、新しいDLCを配信開始！
DLCストーリー『スマイルフェスタ編』、新楽曲『なんどでも笑おう』、
新衣装など、魅力的なセットやアイテムを多数配信！！","New DLC is now available in the store!
The DLC Story ""Smile Festa Ep"", the song ""Nandemo Waraou"", new outfits,
and other sets and items can now be purchased!!",,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_003,"ストアで、新しいDLCを配信開始！
DLCストーリー『ルミナス・アズール編』、新楽曲『ダンス・ダンス・ダンス』、
新衣装など、魅力的なセットやアイテムを多数配信！！","New DLC is now available in the store!
The DLC Story ""Luminous Azul Ep"", the song ""Dance, Dance, Dance"", 
new outfits, and other sets and items can now be purchased!!",,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_004,"ストアで、新しいDLCを配信開始！
DLCストーリー『ルミナス・ルーフス編』、新楽曲『KAWAII ウォーズ』、
新衣装など、魅力的なセットやアイテムを多数配信！！","New DLC is now available in the store!
The DLC Story ""Luminous Rufus Ep"", the song ""KAWAII Wars"", 
new outfits, and other sets and items can now be purchased!!",,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_005,"ストアで、新しいDLCを配信開始！
DLCストーリー『ルミナス・ジャッロ編』、新楽曲『全力★ドリーミングガールズ』、
新衣装など、魅力的なセットやアイテムを多数配信！！","New DLC is now available in the store!
The DLC Story ""Luminous Giallo Ep"", the song ""Zenryoku★Dreaming Girls"", 
new outfits, and other sets and items can now be purchased!!",,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_006,"ストアで、新しいDLCを配信開始！
DLCストーリー『スターリットレインボー編』、新楽曲『IDOL☆HEART』、
新衣装など、魅力的なセットやアイテムを多数配信！！","New DLC is now available in the store!
The DLC Story ""Starlit Rainbow Ep"", the song ""IDOL☆HEART"", 
new outfits, and other sets and items can now be purchased!!",,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_101,※※このテキストは多分、使用しないが、念のため用意しておく,"※※This text probably won't be needed, but it is here just in case.",this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_102,"・「千早」の絆9と10がアルバムに登録されない場合がある不具合を修正（例文です）
・一部楽曲において、スコアが適切ではない大きな値となる不具合を修正（例文です）
※詳細は、ホームページをご覧ください","・A bug where Chihaya's Bond Lv.9 & 10 conversations would not properly register
in the album. (example sentence)
・Fixed a bug where scores for some songs had very large values and were not
accurate. (example sentence)
※Please see the home page for more details.",this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_103,その都度、記述する,Each time it is described,this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_104,その都度、記述する,Each time it is described,this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_105,その都度、記述する,Each time it is described,this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_106,その都度、記述する,Each time it is described,this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_DETAIL_STEAM_107,その都度、記述する,Each time it is described,this was probably left behind by devs,
ST_Out_MD/ANNOUNCE_TITLE_001,NEW DLC,NEW DLC,,
ST_Out_MD/ANNOUNCE_TITLE_031,日本全国凱旋ステージ『るみなすじゃぱん47』,Triumphant Return to the Japanese Stage: Luminous Japan 47,,
ST_Out_MD/ANNOUNCE_TITLE_101,不具合の修正について,Bug Fixes,,
ST_Out_MD/ANNOUNCE_VER_001,アップデートデータVer1.03配信のお知らせ,Notice of updated data Ver. 1.03 release,,
ST_Out_MD/ANNOUNCE_VER_002,アップデートデータVer1.10配信のお知らせ,Notice of updated data Ver. 1.10 release,,
ST_Out_MD/ANNOUNCE_VER_003,アップデートデータVer1.21配信のお知らせ,Notice of updated data Ver. 1.21 release,,
ST_Out_MD/ANNOUNCE_VER_004,アップデートデータVer1.30配信のお知らせ,Notice of updated data Ver. 1.30 release,,
ST_Out_MD/ANNOUNCE_VER_005,アップデートデータVer1.40配信のお知らせ,Notice of updated data Ver. 1.40 release,,
ST_Out_MD/ANNOUNCE_VER_006,アップデートデータVer1.50配信のお知らせ,Notice of updated data Ver. 1.50 release,,
ST_Out_MD/ANNOUNCE_VER_007,アップデートデータVer1.60配信のお知らせ,Notice of updated data Ver. 1.60 release,,
ST_Out_MD/Age_01,15歳,15,,
ST_Out_MD/Age_02,18歳,18,,
ST_Out_MD/Age_03,16歳,16,,
ST_Out_MD/Age_04,14歳,14,,
ST_Out_MD/Age_05,17歳,17,,
ST_Out_MD/Age_06,17歳,17,,
ST_Out_MD/Age_07,14歳,14,,
ST_Out_MD/Age_08,14歳,14,,
ST_Out_MD/Age_09,14歳,14,,
ST_Out_MD/Age_10,17歳,17,,
ST_Out_MD/Age_11,18歳,18,,
ST_Out_MD/Age_12,12歳,12,,
ST_Out_MD/Age_13,15歳,15,,
ST_Out_MD/Age_14,15歳,15,,
ST_Out_MD/Age_15,不明,??,,
ST_Out_MD/Age_16,17歳,17,,
ST_Out_MD/Age_17,17歳,17,,
ST_Out_MD/Age_18,16歳,16,,
ST_Out_MD/Age_19,17歳,17,,
ST_Out_MD/Age_20,14歳,14,,
ST_Out_MD/Age_21,19歳,19,,
ST_Out_MD/Age_22,21歳,21,,
ST_Out_MD/Age_23,15歳,15,,
ST_Out_MD/Age_24,17歳,17,,
ST_Out_MD/Age_25,13歳,13,,
ST_Out_MD/Age_26,13歳,13,,
ST_Out_MD/Age_27,17歳,17,,
ST_Out_MD/Age_28,永遠の17歳,Forever 17,,
ST_Out_MD/Age_29,25歳,25,,
ST_Out_MD/Age_30,17歳,17,,
ST_Out_MD/Age_31,23歳,23,,
ST_Out_MD/Age_32,18歳,18,,
ST_Out_MD/Age_33,17歳,17,,
ST_Out_MD/Age_34,16歳,16,,
ST_Out_MD/Age_35,18歳,18,,
ST_Out_MD/B-W-H_01,86/55/83,,,
ST_Out_MD/B-W-H_02,90/62/92,,,
ST_Out_MD/B-W-H_03,83/56/80,,,
ST_Out_MD/B-W-H_04,81/57/80,,,
ST_Out_MD/B-W-H_05,?/?/?,,,
ST_Out_MD/B-W-H_06,80/56/82,,,
ST_Out_MD/B-W-H_07,78/54/77,,,
ST_Out_MD/B-W-H_08,76/53/77,,,
ST_Out_MD/B-W-H_09,85/52/82,,,
ST_Out_MD/B-W-H_10,81/58/83,,,
ST_Out_MD/B-W-H_11,91/58/87,,,
ST_Out_MD/B-W-H_12,80/57/83,,,
ST_Out_MD/B-W-H_13,88/56/82,,,
ST_Out_MD/B-W-H_14,74/53/78,,,
ST_Out_MD/B-W-H_15,不明,??,,
ST_Out_MD/B-W-H_16,82/53/80,,,
ST_Out_MD/B-W-H_17,83/56/82,,,
ST_Out_MD/B-W-H_18,72/55/78,,,
ST_Out_MD/B-W-H_19,81/56/81,,,
ST_Out_MD/B-W-H_20,74/54/78,,,
ST_Out_MD/B-W-H_21,85/57/85,,,
ST_Out_MD/B-W-H_22,91/59/86,,,
ST_Out_MD/B-W-H_23,77/54/79,,,
ST_Out_MD/B-W-H_24,75/57/78,,,
ST_Out_MD/B-W-H_25,78/55/77,,,
ST_Out_MD/B-W-H_26,78/55/77,,,
ST_Out_MD/B-W-H_27,92/65/87,,,
ST_Out_MD/B-W-H_28,84/57/84,,,
ST_Out_MD/B-W-H_29,81/57/83,,,
ST_Out_MD/B-W-H_30,82/56/83,,,
ST_Out_MD/B-W-H_31,88/58/85,,,
ST_Out_MD/B-W-H_32,79/55/78,,,
ST_Out_MD/B-W-H_33,80/56/80,,,
ST_Out_MD/B-W-H_34,70/54/78,,,
ST_Out_MD/B-W-H_35,81/56/83,,,
ST_Out_MD/BirthPlACe_01,神奈川,Kanagawa,,
ST_Out_MD/BirthPlACe_02,京都？,Kyoto?,,
ST_Out_MD/BirthPlACe_03,沖縄,Okinawa,,
ST_Out_MD/BirthPlACe_04,熊本,Kumamoto,,
ST_Out_MD/BirthPlACe_05,北海道,Hokkaido,,
ST_Out_MD/BirthPlACe_06,埼玉,Saitama,,
ST_Out_MD/BirthPlACe_07,東京,Tokyo,,
ST_Out_MD/BirthPlACe_08,埼玉,Saitama,,
ST_Out_MD/BirthPlACe_09,東京,Tokyo,,
ST_Out_MD/BirthPlACe_10,富山,Toyama,,
ST_Out_MD/BirthPlACe_11,高知,Kochi,,
ST_Out_MD/BirthPlACe_12,東京,Tokyo,,
ST_Out_MD/BirthPlACe_13,東京,Tokyo,,
ST_Out_MD/BirthPlACe_14,神奈川,Kanagawa,,
ST_Out_MD/BirthPlACe_15,不明,Unknown,,
ST_Out_MD/BirthPlACe_16,オーストリア,Austria,,
ST_Out_MD/BirthPlACe_17,神奈川,Kanagawa,,
ST_Out_MD/BirthPlACe_18,東京,Tokyo,,
ST_Out_MD/BirthPlACe_19,東京,Tokyo,,
ST_Out_MD/BirthPlACe_20,埼玉,Saitama,,
ST_Out_MD/BirthPlACe_21,東京,Tokyo,,
ST_Out_MD/BirthPlACe_22,千葉,Chiba,,
ST_Out_MD/BirthPlACe_23,東京,Tokyo,,
ST_Out_MD/BirthPlACe_24,静岡,Shizuoka,,
ST_Out_MD/BirthPlACe_25,東京,Tokyo,,
ST_Out_MD/BirthPlACe_26,東京,Tokyo,,
ST_Out_MD/BirthPlACe_27,東京,Tokyo,,
ST_Out_MD/BirthPlACe_28,ウサミン星,Planet Usamin,,
ST_Out_MD/BirthPlACe_29,和歌山,Wakayama,,
ST_Out_MD/BirthPlACe_30,石川,Ishikawa,,
ST_Out_MD/BirthPlACe_31,東京,Tokyo,,
ST_Out_MD/BirthPlACe_32,東京,Tokyo,,
ST_Out_MD/BirthPlACe_33,富山,Toyama,,
ST_Out_MD/BirthPlACe_34,鳥取,Tottori,,
ST_Out_MD/BirthPlACe_35,神奈川,Kanagawa,,
ST_Out_MD/Birth_01,11/23,,,
ST_Out_MD/Birth_02,1/21,,,
ST_Out_MD/Birth_03,10/10,,,
ST_Out_MD/Birth_04,4/8,,,
ST_Out_MD/Birth_05,9/2,,,
ST_Out_MD/Birth_06,11/12,,,
ST_Out_MD/Birth_07,6/28,,,
ST_Out_MD/Birth_08,9/14,,,
ST_Out_MD/Birth_09,7/30,,,
ST_Out_MD/Birth_10,12/25,,,
ST_Out_MD/Birth_11,6/27,,,
ST_Out_MD/Birth_12,7/29,,,
ST_Out_MD/Birth_13,7/26,,,
ST_Out_MD/Birth_14,9/6,,,
ST_Out_MD/Birth_15,不明,??,,
ST_Out_MD/Birth_16,9/16,,,
ST_Out_MD/Birth_17,4/3,,,
ST_Out_MD/Birth_18,2/25,,,
ST_Out_MD/Birth_19,12/24,,,
ST_Out_MD/Birth_20,3/25,,,
ST_Out_MD/Birth_21,6/23,,,
ST_Out_MD/Birth_22,7/19,,,
ST_Out_MD/Birth_23,5/5,,,
ST_Out_MD/Birth_24,8/29,,,
ST_Out_MD/Birth_25,5/22,,,
ST_Out_MD/Birth_26,5/22,,,
ST_Out_MD/Birth_27,9/1,,,
ST_Out_MD/Birth_28,5/15,,,
ST_Out_MD/Birth_29,6/14,,,
ST_Out_MD/Birth_30,5/29,,,
ST_Out_MD/Birth_31,3/27,,,
ST_Out_MD/Birth_32,10/5,,,
ST_Out_MD/Birth_33,12/25,,,
ST_Out_MD/Birth_34,10/19,,,
ST_Out_MD/Birth_35,5/24,,,
ST_Out_MD/BlOOd_01,B型,B,,
ST_Out_MD/BlOOd_02,B型,B,,
ST_Out_MD/BlOOd_03,A型,A,,
ST_Out_MD/BlOOd_04,A型,A,,
ST_Out_MD/BlOOd_05,B型,B,,
ST_Out_MD/BlOOd_06,AB型,AB,,
ST_Out_MD/BlOOd_07,O型,O,,
ST_Out_MD/BlOOd_08,A型,A,,
ST_Out_MD/BlOOd_09,B型,B,,
ST_Out_MD/BlOOd_10,A型,A,,
ST_Out_MD/BlOOd_11,A型,A,,
ST_Out_MD/BlOOd_12,A型,A,,
ST_Out_MD/BlOOd_13,AB型,AB,,
ST_Out_MD/BlOOd_14,B型,B,,
ST_Out_MD/BlOOd_15,不明,??,,
ST_Out_MD/BlOOd_16,A型,A,,
ST_Out_MD/BlOOd_17,O型,O,,
ST_Out_MD/BlOOd_18,A型,A,,
ST_Out_MD/BlOOd_19,A型,A,,
ST_Out_MD/BlOOd_20,O型,O,,
ST_Out_MD/BlOOd_21,A型,A,,
ST_Out_MD/BlOOd_22,O型,O,,
ST_Out_MD/BlOOd_23,AB型,AB,,
ST_Out_MD/BlOOd_24,O型,O,,
ST_Out_MD/BlOOd_25,B型,B,,
ST_Out_MD/BlOOd_26,B型,B,,
ST_Out_MD/BlOOd_27,O型,O,,
ST_Out_MD/BlOOd_28,O型,O,,
ST_Out_MD/BlOOd_29,AB型,AB,,
ST_Out_MD/BlOOd_30,AB型,AB,,
ST_Out_MD/BlOOd_31,O型,O,,
ST_Out_MD/BlOOd_32,A型,A,,
ST_Out_MD/BlOOd_33,A型,A,,
ST_Out_MD/BlOOd_34,B型,B,,
ST_Out_MD/BlOOd_35,B型,B,,
ST_Out_MD/CALENDAR_EVENT_TEXT_001,春香の誕生日,Haruka's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_002,蘭子の誕生日,Ranko's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_003,お花見パーティー,Flower Viewing Party,,
ST_Out_MD/CALENDAR_EVENT_TEXT_004,伊織の誕生日,Iori's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_005,菜々の誕生日,Nana's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_006,亜美・真美の誕生日,Ami & Mami's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_007,カラオケ,Karaoke,,
ST_Out_MD/CALENDAR_EVENT_TEXT_008,紬の誕生日,Tsumugi's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_009,オフショットの撮影①,Candid Photoshoot ①,,
ST_Out_MD/CALENDAR_EVENT_TEXT_010,オフショットの撮影②,Candid Photoshoot ②,,
ST_Out_MD/CALENDAR_EVENT_TEXT_011,オフショットの撮影③,Candid Photoshoot ③,,
ST_Out_MD/CALENDAR_EVENT_TEXT_012,律子の誕生日,Ritsuko's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_013,咲耶の誕生日,Sakuya's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_014,未来の誕生日,Mirai's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_015,あずさの誕生日,Azusa's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_016,夏祭り,Summer Festival,,
ST_Out_MD/CALENDAR_EVENT_TEXT_017,心白の誕生日,Kohaku's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_018,果穂の誕生日,Kaho's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_019,翼の誕生日,Tsubasa's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_020,合宿,Training Camp,,
ST_Out_MD/CALENDAR_EVENT_TEXT_021,盆踊りのミニライブ,Bon-Dance Mini Concert,,
ST_Out_MD/CALENDAR_EVENT_TEXT_022,海での休暇,Vacation at the Beach,beach is a better word here,
ST_Out_MD/CALENDAR_EVENT_TEXT_023,真の誕生日,Makoto's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_024,きらりの誕生日,Kirari's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_025,杏の誕生日,Anzu's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_026,静香の誕生日,Shizuka's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_027,地方イベント①,Local Event ①,,
ST_Out_MD/CALENDAR_EVENT_TEXT_028,地方イベント②,Local Event ②,,
ST_Out_MD/CALENDAR_EVENT_TEXT_029,お月見パーティー,Moon Viewing Party,,
ST_Out_MD/CALENDAR_EVENT_TEXT_030,響の誕生日,Hibiki's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_031,凛世の誕生日,Rinze's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_032,ハロウィンイベント,Halloween Event,,
ST_Out_MD/CALENDAR_EVENT_TEXT_033,中間ライブ１日目,Midterm Live - Day 1,,
ST_Out_MD/CALENDAR_EVENT_TEXT_034,美嘉の誕生日,Mika's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_035,シークレットライブ,Secret Live,,
ST_Out_MD/CALENDAR_EVENT_TEXT_036,中間ライブ２日目,Midterm Live - Day 2,,
ST_Out_MD/CALENDAR_EVENT_TEXT_037,美希の誕生日,Miki's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_038,雪歩の誕生日,Yukiho's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_039,クリスマスパーティー,Christmas Party,,
ST_Out_MD/CALENDAR_EVENT_TEXT_040,甜花・甘奈の誕生日,Tenka & Amana's Birthday,,
ST_Out_MD/CALENDAR_EVENT_TEXT_041,クリスマス配信ライブ,Christmas Live Broadcast,,
ST_Out_MD/CALENDAR_EVENT_TEXT_042,温泉,Hot Spring,,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_001,平日ステージ,Weekday Stage,,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_002,週末ステージ,Weekend Stage,,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_003,月末ステージ,Monthly Stage,,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_004,プロデューサータスク期限,Producer Task Deadline,,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_005,スターリットオーダー期限,Starlit Order Deadline,,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_006,団結コミュ,Unity COMMU,,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_007,合宿,Training Camp,,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_008,温泉,Hot Springs,,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_009,レッスン,Lesson,,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_010,営業,Work,"This translation will make an extremely large impact because of how often it's used and is core to gameplay.
It might be better to use jobs/work based on what makes the most sense in terms of readability -F91+Setsuna",
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_011,レッスン/営業,Lesson / Work,,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_012,関係者,Networking,"This does not translate very well at all, but this is for days where you have Trust COMMUs
with your business partners. Making our own translation that makes more sense is the better way to go -F91",
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_013,選考ステージ,Selection Stage,maintaining consistency with starlit stage terminology. -F91,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_014,最終ステージ,Final Stage,,
ST_Out_MD/CALENDAR_SCHEDULE_ICON_TEXT_015,オーダー&タスク期限,Order & Task Deadline,,
ST_Out_MD/CATALOG_DETAIL_000,"カタログ創刊号の配信開始です！
アイドルからメールを受信できるメールアドレスや
STAGE FOR YOU!（S4U!）で使用できる舞台演出やフォトフレームなど
盛りだくさんの内容でお届けします！","The first issue of the catalog is now available!
You can access new content such as having idol's email adresses and receiving 
messages from them, stage production effects and photo frames that can be 
used in STAGE FOR YOU! (S4U!), etc.!",,
ST_Out_MD/CATALOG_DETAIL_001,"カタログ２号の配信開始です！
DLCストーリー『スマイルフェスタ編』、
新楽曲『なんどでも笑おう』、新衣装など、盛りだくさんの内容でお届けします！","Catalog Vol.2 is now available!
You can access the DLC Story ""Smile Festa Ep"", the song ""Nandemo Waraou"", 
new outfits, and etc.!",,
ST_Out_MD/CATALOG_DETAIL_002,"カタログ３号の配信開始です！
DLCストーリー『ルミナス・アズール編』、
新楽曲『ダンス・ダンス・ダンス』、新衣装など、盛りだくさんの内容でお届けします！","Catalog Vol.3 is now available!
You can access the DLC Story ""Luminous Azul Ep"", the song ""Dance, Dance, Dance"", 
new outfits, and etc.!",,
ST_Out_MD/CATALOG_DETAIL_003,"カタログ４号の配信開始です！
DLCストーリー『ルミナス・ルーフス編』、
新楽曲『KAWAII ウォーズ』、新衣装など、盛りだくさんの内容でお届けします！","Catalog Vol.4 is now available!
You can access the DLC Story ""Luminous Rufus Ep"", the song ""KAWAII Wars"", 
new outfits, and etc.!",,
ST_Out_MD/CATALOG_DETAIL_004,"カタログ５号の配信開始です！
DLCストーリー『ルミナス・ジャッロ編』、
新楽曲『全力★ドリーミングガールズ』、新衣装など、
盛りだくさんの内容でお届けします！","Catalog Vol.4 is now available!
You can access the DLC Story ""Luminous Giallo Ep"", the song ""Zenryoku★Dreaming Girls"", 
new outfits, and etc.!",,
